time,open,high,low,close,VWAP,Upper Band,Lower Band,Volume,Volume MA
2021-08-30T09:00:00+02:00,624.2,626.2,623.8,625.4,625.1333333333333,NaN,NaN,2738,NaN
2021-08-30T09:05:00+02:00,626,628.8,625.8,627.8,626.0431669637552,NaN,NaN,1750,NaN
2021-08-30T09:10:00+02:00,627.8,631.2,627.6,630.4,626.8303593339176,NaN,NaN,1217,NaN
2021-08-30T09:15:00+02:00,630.4,631.2,628.6,628.6,627.3384462997029,NaN,NaN,1362,NaN
2021-08-30T09:20:00+02:00,628.4,628.6,627,627,627.3592381915477,NaN,NaN,844,NaN
2021-08-30T09:25:00+02:00,626.8,627.6,625.8,627.6,627.297428920286,NaN,NaN,1644,NaN
2021-08-30T09:30:00+02:00,628,628.2,626.2,626.2,627.2405365307172,NaN,NaN,1454,NaN
2021-08-30T09:35:00+02:00,626.6,628.2,625.8,628.2,627.2528101506387,NaN,NaN,918,NaN
2021-08-30T09:40:00+02:00,627.4,627.4,626,626.2,627.1686483551739,NaN,NaN,1580,NaN
2021-08-30T09:45:00+02:00,626.2,626.2,624.8,624.8,627.0572895611161,NaN,NaN,840,NaN
2021-08-30T09:50:00+02:00,624.6,625.2,624.6,625.2,627.0369864274212,NaN,NaN,143,NaN
2021-08-30T09:55:00+02:00,625.2,626,625.2,626,626.9533768218906,NaN,NaN,993,NaN
2021-08-30T10:00:00+02:00,626.2,626.6,626,626.6,626.9480320668628,NaN,NaN,151,NaN
2021-08-30T10:05:00+02:00,626.6,627.6,626,627.6,626.9518651481391,NaN,NaN,522,NaN
2021-08-30T10:10:00+02:00,627.6,627.8,627.4,627.6,626.9776734418955,NaN,NaN,670,NaN
2021-08-30T10:15:00+02:00,627.4,627.4,627.2,627.4,626.988395104425,NaN,NaN,523,NaN
2021-08-30T10:20:00+02:00,627,627.4,626.6,627.4,626.9925735184356,NaN,NaN,515,NaN
2021-08-30T10:25:00+02:00,627,627,626.4,626.4,626.9845864180605,NaN,NaN,371,NaN
