time,open,high,low,close,VWAP,Upper Band,Lower Band,Volume,Volume MA
2021-10-26T09:15:00+02:00,313.1,314.2,312.7,313.9,312.80558753,NaN,NaN,9636,9769.75
2021-10-26T09:30:00+02:00,314,314.7,313.9,314.2,313.55402534,NaN,NaN,22079,10744.6
2021-10-26T09:45:00+02:00,314.4,314.7,313.3,313.3,313.57650407,NaN,NaN,5095,10777.65
2021-10-26T10:00:00+02:00,313.3,313.8,312.3,312.6,313.53115499,NaN,NaN,3463,10705.55
2021-10-26T10:15:00+02:00,312.8,313,311.4,311.7,313.4540679,NaN,NaN,2803,10633.7
2021-10-26T10:30:00+02:00,311.6,312,311.4,311.7,313.33629481,NaN,NaN,3920,10508.65
2021-10-26T10:45:00+02:00,311.7,313,311.7,312.9,313.29791075,NaN,NaN,2931,10552.9
2021-10-26T11:00:00+02:00,312.7,312.9,311.7,311.8,313.23561802,NaN,NaN,3465,10180.75
2021-10-26T11:15:00+02:00,311.6,311.8,310.8,311.5,313.10254451,NaN,NaN,4966,10104.4
2021-10-26T11:30:00+02:00,311.1,311.8,311,311.5,313.05739356,NaN,NaN,1939,9948.7
2021-10-26T11:45:00+02:00,311.5,312,311.1,311.6,312.99556067,NaN,NaN,3102,9818.75
2021-10-26T12:00:00+02:00,311.6,311.6,311.1,311.5,312.95246546,NaN,NaN,2076,9249.5
2021-10-26T12:15:00+02:00,311.5,311.5,309.9,310,312.82801116,NaN,NaN,4051,8759.1
2021-10-26T12:30:00+02:00,309.9,310,309.2,309.9,312.73291512,NaN,NaN,2537,8644.7
2021-10-26T12:45:00+02:00,309.9,310,308.6,309.4,312.49710159,NaN,NaN,6220,8707.3
2021-10-26T13:00:00+02:00,309.2,309.5,308.9,309.3,312.35802878,NaN,NaN,3991,8590.3
2021-10-26T13:15:00+02:00,309.3,309.3,309.1,309.3,312.31687581,NaN,NaN,1250,8338.4
2021-10-26T13:30:00+02:00,309.3,309.5,308.9,308.9,312.19721135,NaN,NaN,3667,8122
2021-10-26T13:45:00+02:00,309,309.1,308.6,308.9,312.13787837,NaN,NaN,1788,5018.3
2021-10-26T14:00:00+02:00,308.9,309.9,308.8,309.9,312.12273401,NaN,NaN,587,4478.3
2021-10-26T14:15:00+02:00,309.7,310,309.1,309.2,312.06438096,NaN,NaN,2239,4108.45
2021-10-26T14:30:00+02:00,309.4,309.8,309.2,309.8,312.00909814,NaN,NaN,2368,3122.9
2021-10-26T14:45:00+02:00,309.8,310.5,309.6,309.9,311.95866566,NaN,NaN,2718,3004.05
2021-10-26T15:00:00+02:00,310.1,310.1,309.4,309.5,311.9016144,NaN,NaN,2764,2969.1
2021-10-26T15:15:00+02:00,309.5,310.2,309.5,310.1,311.85851361,NaN,NaN,2486,2953.25
2021-10-26T15:30:00+02:00,310.2,311.1,310.2,310.5,311.80072386,NaN,NaN,5464,3030.45
2021-10-26T15:45:00+02:00,310.6,311.1,310.5,311,311.7670882,NaN,NaN,4445,3106.15
2021-10-26T16:00:00+02:00,311.2,311.2,310.5,310.9,311.74836662,NaN,NaN,2621,3063.95
2021-10-26T16:15:00+02:00,311,311.2,310.6,310.7,311.73476555,NaN,NaN,1902,2910.75
2021-10-26T16:30:00+02:00,310.6,311.5,310.6,311.3,311.72481811,NaN,NaN,2152,2921.4
2021-10-26T16:45:00+02:00,311.3,311.5,310.8,310.8,311.70913737,NaN,NaN,3019,2917.25
2021-10-26T17:00:00+02:00,310.8,311.1,310.4,311,311.68812254,NaN,NaN,3273,2977.1
2021-10-26T17:15:00+02:00,311.1,312.1,310.9,312.1,311.6919649,NaN,NaN,65228,6035.95
2021-10-27T09:00:00+02:00,312,313.5,309.5,312.8,311.93333333,NaN,NaN,23623,7090.25
2021-10-27T09:15:00+02:00,313.1,313.8,312.2,313.5,312.21980175,NaN,NaN,7147,7136.6
2021-10-27T09:30:00+02:00,313.6,314.4,313.3,314.2,312.44647227,NaN,NaN,4588,7166.45
2021-10-27T09:45:00+02:00,314,314.4,313.3,313.4,312.62133771,NaN,NaN,5732,7390.55
2021-10-27T10:00:00+02:00,313.4,314.1,313.1,314.1,312.72131867,NaN,NaN,3930,7403.7
2021-10-27T10:15:00+02:00,314.2,314.2,312.8,313.2,312.82560752,NaN,NaN,8174,7723
2021-10-27T10:30:00+02:00,313.1,313.2,311.5,311.7,312.78896446,NaN,NaN,2973,7842.3
2021-10-27T10:45:00+02:00,311.8,312.2,311.3,311.7,312.73616862,NaN,NaN,2957,7878.2
2021-10-27T11:00:00+02:00,312,312.8,311.4,312.7,312.7202264,NaN,NaN,2243,7871.95
2021-10-27T11:15:00+02:00,313,313.9,312.7,313.5,312.75803352,NaN,NaN,3812,7926.65
2021-10-27T11:30:00+02:00,313.6,314,313.2,313.2,312.78786062,NaN,NaN,2864,7931.65
2021-10-27T11:45:00+02:00,313.2,313.4,312.1,312.2,312.77987959,NaN,NaN,2547,7934.7
2021-10-27T12:00:00+02:00,312.4,313.1,312.3,312.8,312.77800695,NaN,NaN,2959,7809.45
2021-10-27T12:15:00+02:00,312.8,312.9,312.3,312.4,312.77283584,NaN,NaN,1588,7666.6
2021-10-27T12:30:00+02:00,312.4,312.6,312.1,312.2,312.76657649,NaN,NaN,1008,7585.95
2021-10-27T12:45:00+02:00,312.3,312.6,312,312.6,312.75543883,NaN,NaN,2386,7610.15
2021-10-27T13:00:00+02:00,312.6,313.5,312.6,313.3,312.76510282,NaN,NaN,2061,7605.6
2021-10-27T13:15:00+02:00,313.3,313.3,312.2,312.3,312.76005638,NaN,NaN,2541,7581.7
2021-10-27T13:30:00+02:00,312.3,312.3,311.6,311.6,312.72848545,NaN,NaN,2932,7564.65
2021-10-27T13:45:00+02:00,311.8,312.4,311.6,312,312.70435891,NaN,NaN,2948,4450.65
2021-10-27T14:00:00+02:00,312,312.4,311.6,312.2,312.6907091,NaN,NaN,1947,3366.85
2021-10-27T14:15:00+02:00,312.1,312.6,312.1,312.5,312.68533246,NaN,NaN,1714,3095.2
2021-10-27T14:30:00+02:00,312.4,312.8,312.2,312.5,312.68193037,NaN,NaN,1733,2952.45
2021-10-27T14:45:00+02:00,312.4,312.9,312.1,312.8,312.68057167,NaN,NaN,1592,2745.45
2021-10-27T15:00:00+02:00,312.7,313.5,312.7,313.3,312.6886042,NaN,NaN,1613,2629.6
2021-10-27T15:15:00+02:00,313.4,313.6,313.3,313.6,312.69475008,NaN,NaN,745,2258.15
2021-10-27T15:30:00+02:00,313.6,313.7,312.5,313.1,312.71407441,NaN,NaN,4925,2355.75
2021-10-27T15:45:00+02:00,313.2,313.7,313,313.5,312.75182925,NaN,NaN,6016,2508.7
2021-10-27T16:00:00+02:00,313.6,313.6,311.4,311.9,312.72585292,NaN,NaN,6667,2729.9
2021-10-27T16:15:00+02:00,312,312,310.9,311.2,312.66683439,NaN,NaN,5264,2802.5
2021-10-27T16:30:00+02:00,311,311.3,310.8,310.9,312.61768819,NaN,NaN,3683,2843.45
2021-10-27T16:45:00+02:00,310.9,311.6,310.8,311.2,312.59059151,NaN,NaN,2434,2837.8
2021-10-27T17:00:00+02:00,311.2,311.5,311,311.5,312.57378859,NaN,NaN,1725,2776.1
2021-10-27T17:15:00+02:00,311.4,312.2,311.4,311.6,312.33843505,NaN,NaN,50202,5206.8
2021-10-28T09:00:00+02:00,310.7,311,307.8,308.6,309.13333333,NaN,NaN,11553,5734.05
2021-10-28T09:15:00+02:00,308.5,309.7,308.1,309.7,309.14518031,NaN,NaN,6370,5933.25
2021-10-28T09:30:00+02:00,309.5,310.7,309.2,309.8,309.24314268,NaN,NaN,2673,5963.85
2021-10-28T09:45:00+02:00,309.9,310.6,309.5,310.5,309.34649488,NaN,NaN,2494,5961.5
2021-10-28T10:00:00+02:00,310.5,310.6,309.2,310.4,309.41504369,NaN,NaN,2429,5936.35
2021-10-28T10:15:00+02:00,310.5,311.3,310,310.1,309.50368523,NaN,NaN,2349,5906.4
2021-10-28T10:30:00+02:00,309.8,310.3,309.5,310.3,309.53650633,NaN,NaN,1841,5901.1
2021-10-28T10:45:00+02:00,310.3,311,309.9,310,309.62250199,NaN,NaN,3771,6003.95
2021-10-28T11:00:00+02:00,310,310.2,309.5,309.8,309.63593322,NaN,NaN,2278,6031.2
2021-10-28T11:15:00+02:00,309.8,309.9,308.8,308.8,309.60212713,NaN,NaN,2776,6090.4
2021-10-28T11:30:00+02:00,309,309.9,308.8,309.4,309.58802983,NaN,NaN,2454,6132.45
2021-10-28T11:45:00+02:00,309.4,309.4,308.4,308.6,309.48102738,NaN,NaN,6440,6417.2
2021-10-28T12:00:00+02:00,308.7,309.4,308.65,308.8,309.45483206,NaN,NaN,2461,6294
2021-10-28T12:15:00+02:00,308.8,309.5,308.7,309.5,309.44040057,NaN,NaN,3477,6167.05
2021-10-28T12:30:00+02:00,309.3,310.5,309.1,310.5,309.47121061,NaN,NaN,2925,5979.95
2021-10-28T12:45:00+02:00,310.5,311,310.3,311,309.55878028,NaN,NaN,4081,5920.8
2021-10-28T13:00:00+02:00,310.9,311,310.1,310.4,309.59198919,NaN,NaN,2208,5847.05
