time,open,high,low,close,Volume,Volume MA
2020-10-01T09:00:00+02:00,27.22,27.4,27.1,27.3,192193,NaN
2020-10-01T09:15:00+02:00,27.32,27.44,27.3,27.36,71864,NaN
2020-10-01T09:30:00+02:00,27.38,27.38,27.12,27.2,121826,NaN
2020-10-01T09:45:00+02:00,27.18,27.36,27.18,27.36,39447,NaN
2020-10-01T10:00:00+02:00,27.38,27.38,27.28,27.3,31141,NaN
2020-10-01T10:15:00+02:00,27.28,27.34,27.2,27.2,52751,NaN
2020-10-01T10:30:00+02:00,27.2,27.2,27.08,27.16,86543,NaN
2020-10-01T10:45:00+02:00,27.16,27.18,27.12,27.18,73176,NaN
2020-10-01T11:00:00+02:00,27.17,27.26,27.16,27.22,28873,NaN
2020-10-01T11:15:00+02:00,27.22,27.3,27.22,27.3,50065,NaN
2020-10-01T11:30:00+02:00,27.26,27.3,27.22,27.26,86380,NaN
2020-10-01T11:45:00+02:00,27.3,27.32,27.24,27.32,51635,NaN
2020-10-01T12:00:00+02:00,27.31,27.36,27.3,27.32,95924,NaN
2020-10-01T12:15:00+02:00,27.32,27.38,27.32,27.38,28115,NaN
2020-10-01T12:30:00+02:00,27.38,27.4,27.34,27.38,76183,NaN
2020-10-01T12:45:00+02:00,27.38,27.56,27.36,27.56,165039,NaN
2020-10-01T13:00:00+02:00,27.56,27.56,27.46,27.54,232064,NaN
2020-10-01T13:15:00+02:00,27.54,27.54,27.44,27.5,150021,NaN
2020-10-01T13:30:00+02:00,27.5,27.54,27.44,27.46,50084,NaN
2020-10-01T13:45:00+02:00,27.44,27.52,27.44,27.46,97273,89029.85
2020-10-01T14:00:00+02:00,27.5,27.5,27.42,27.44,78118,83326.1
2020-10-01T14:15:00+02:00,27.46,27.54,27.44,27.48,85770,84021.4
2020-10-01T14:30:00+02:00,27.52,27.54,27.5,27.5,119560,83908.1
2020-10-01T14:45:00+02:00,27.5,27.58,27.48,27.54,118846,87878.05
2020-10-01T15:00:00+02:00,27.56,27.6,27.5,27.54,160570,94349.5
2020-10-01T15:15:00+02:00,27.56,27.58,27.5,27.5,68824,95153.15
2020-10-01T15:30:00+02:00,27.5,27.56,27.44,27.5,69664,94309.2
2020-10-01T15:45:00+02:00,27.46,27.5,27.42,27.44,27059,92003.35
2020-10-01T16:00:00+02:00,27.44,27.48,27.38,27.44,55174,93318.4
2020-10-01T16:15:00+02:00,27.46,27.54,27.44,27.48,85308,95080.55
2020-10-01T16:30:00+02:00,27.48,27.6,27.48,27.58,140545,97788.8
2020-10-01T16:45:00+02:00,27.58,27.62,27.36,27.4,472719,118843
2020-10-01T17:00:00+02:00,27.4,27.52,27.38,27.44,489046,138499.1
2020-10-01T17:15:00+02:00,27.44,27.48,27.4,27.4,544724,164329.55
2020-10-02T09:00:00+02:00,27.26,27.36,27.04,27.18,266179,173829.35
2020-10-02T09:15:00+02:00,27.16,27.22,27.04,27.12,142811,172717.95
2020-10-02T09:30:00+02:00,27.1,27.14,27.02,27.06,77037,164966.6
2020-10-02T09:45:00+02:00,27.12,27.12,26.98,27.04,201962,167563.65
2020-10-02T10:00:00+02:00,27.06,27.1,26.94,26.96,422584,186188.65
2020-10-02T10:15:00+02:00,26.96,27,26.86,26.92,141779,188413.95
2020-10-02T10:30:00+02:00,26.94,26.98,26.82,26.92,192336,194124.85
2020-10-02T10:45:00+02:00,26.92,26.94,26.84,26.88,138361,196754.4
2020-10-02T11:00:00+02:00,26.84,26.88,26.82,26.84,198923,200722.55
2020-10-02T11:15:00+02:00,26.84,26.88,26.78,26.84,187355,204148
2020-10-02T11:30:00+02:00,26.84,26.86,26.78,26.8,95782,200908.6
2020-10-02T11:45:00+02:00,26.78,26.82,26.72,26.74,148969,204915.85
2020-10-02T12:00:00+02:00,26.74,26.74,26.6,26.68,200659,211465.6
2020-10-02T12:15:00+02:00,26.68,26.7,26.62,26.7,109110,215568.15
2020-10-02T12:30:00+02:00,26.7,26.7,26.66,26.7,80658,216842.35
2020-10-02T12:45:00+02:00,26.68,26.76,26.66,26.74,50959,215124.9
2020-10-02T13:00:00+02:00,26.76,27,26.76,26.98,165316,216363.45
2020-10-02T13:15:00+02:00,26.96,26.96,26.86,26.96,102211,197838.05
2020-10-02T13:30:00+02:00,26.96,26.96,26.86,26.92,86154,177693.45
2020-10-02T13:45:00+02:00,26.94,26.96,26.92,26.94,70960,154005.25
2020-10-02T14:00:00+02:00,26.96,26.98,26.92,26.96,83991,144895.85
2020-10-02T14:15:00+02:00,26.96,26.96,26.9,26.94,113217,143416.15
2020-10-02T14:30:00+02:00,26.94,27,26.92,27,119441,145536.35
2020-10-02T14:45:00+02:00,27,27.06,26.96,27.02,154566,143166.55
2020-10-02T15:00:00+02:00,27.02,27.02,26.98,26.98,90732,126573.95
2020-10-02T15:15:00+02:00,27,27.08,27,27.08,156772,127323.6
2020-10-02T15:30:00+02:00,27.08,27.23,27.08,27.2,240855,129749.55
2020-10-02T15:45:00+02:00,27.2,27.24,27.14,27.14,126146,129138.8
2020-10-02T16:00:00+02:00,27.12,27.16,26.92,26.92,294790,133932.15
2020-10-02T16:15:00+02:00,26.94,27,26.9,26.94,226969,135912.85
2020-10-02T16:30:00+02:00,26.94,27,26.92,27,190688,140658.15
2020-10-02T16:45:00+02:00,26.98,27,26.96,27,242910,145355.2
2020-10-02T17:00:00+02:00,27,27,26.98,27,281104,149377.45
2020-10-02T17:15:00+02:00,26.98,27,26.98,27,1038763,195860.1
2020-10-05T09:00:00+02:00,27.16,27.52,27.16,27.26,258076,204731
2020-10-05T09:15:00+02:00,27.26,27.3,27.22,27.28,85738,206469.95
2020-10-05T09:30:00+02:00,27.28,27.3,27.22,27.28,216625,209035.4
2020-10-05T09:45:00+02:00,27.28,27.36,27.28,27.28,218316,214840.65
2020-10-05T10:00:00+02:00,27.28,27.3,27.28,27.3,134618,217263.85
2020-10-05T10:15:00+02:00,27.28,27.32,27.24,27.28,73838,217407.75
2020-10-05T10:30:00+02:00,27.28,27.3,27.24,27.26,109831,218699.75
2020-10-05T10:45:00+02:00,27.26,27.28,27.24,27.24,77268,216902.3
2020-10-05T11:00:00+02:00,27.24,27.26,27.22,27.24,26552,212257.85
2020-10-05T11:15:00+02:00,27.26,27.28,27.22,27.22,74918,208275.45
2020-10-05T11:30:00+02:00,27.22,27.26,27.2,27.22,70010,207239.35
2020-10-05T11:45:00+02:00,27.26,27.26,27.2,27.24,34038,201102.65
2020-10-05T12:00:00+02:00,27.24,27.26,27.2,27.2,90875,193603.65
2020-10-05T12:15:00+02:00,27.18,27.28,27.18,27.28,51046,189848.65
2020-10-05T12:30:00+02:00,27.26,27.28,27.18,27.24,80075,179112.9
2020-10-05T12:45:00+02:00,27.24,27.26,27.2,27.24,149944,175261.65
2020-10-05T13:00:00+02:00,27.24,27.26,27.22,27.24,37546,167604.55
2020-10-05T13:15:00+02:00,27.22,27.28,27.2,27.26,59625,158440.3
2020-10-05T13:30:00+02:00,27.26,27.28,27.22,27.22,28739,145822.05
2020-10-05T13:45:00+02:00,27.22,27.26,27.2,27.26,51299,96448.85
2020-10-05T14:00:00+02:00,27.26,27.28,27.24,27.26,39768,85533.45
2020-10-05T14:15:00+02:00,27.26,27.3,27.22,27.3,178829,90188
2020-10-05T14:30:00+02:00,27.3,27.46,27.3,27.42,198463,89279.9
2020-10-05T14:45:00+02:00,27.4,27.46,27.4,27.42,103727,83550.45
2020-10-05T15:00:00+02:00,27.42,27.58,27.4,27.56,260632,89851.15
2020-10-05T15:15:00+02:00,27.56,27.58,27.5,27.5,143964,93357.45
2020-10-05T15:30:00+02:00,27.52,27.58,27.5,27.54,138065,94769.15
2020-10-05T15:45:00+02:00,27.54,27.56,27.46,27.46,145206,98166.05
2020-10-05T16:00:00+02:00,27.46,27.5,27.42,27.44,101594,101918.15
2020-10-05T16:15:00+02:00,27.4,27.42,27.34,27.38,111575,103751
2020-10-05T16:30:00+02:00,27.38,27.54,27.38,27.5,246579,112579.45
2020-10-05T16:45:00+02:00,27.52,27.54,27.5,27.54,14371,111596.1
2020-10-05T17:00:00+02:00,27.52,27.6,27.52,27.59,206974,117401.05
2020-10-05T17:15:00+02:00,27.58,27.6,27.46,27.56,401014,134899.45
2020-10-06T09:00:00+02:00,27.62,27.68,27.56,27.58,143512,138071.3
2020-10-06T09:15:00+02:00,27.56,27.56,27.42,27.46,256628,143405.5
2020-10-06T09:30:00+02:00,27.46,27.46,27.24,27.34,221222,152589.3
2020-10-06T09:45:00+02:00,27.34,27.36,27.28,27.36,51232,152169.65
2020-10-06T10:00:00+02:00,27.32,27.34,27.24,27.28,118266,156646
2020-10-06T10:15:00+02:00,27.28,27.38,27.28,27.38,51865,156674.3
2020-10-06T10:30:00+02:00,27.38,27.44,27.34,27.34,102722,159822
2020-10-06T10:45:00+02:00,27.38,27.38,27.34,27.38,15324,151646.75
2020-10-06T11:00:00+02:00,27.36,27.46,27.34,27.44,68069,145127.05
2020-10-06T11:15:00+02:00,27.44,27.46,27.38,27.44,64312,143156.3
2020-10-06T11:30:00+02:00,27.42,27.48,27.42,27.46,85652,134407.3
2020-10-06T11:45:00+02:00,27.44,27.52,27.44,27.52,74044,130911.3
2020-10-06T12:00:00+02:00,27.52,27.58,27.48,27.56,31704,125593.25
2020-10-06T12:15:00+02:00,27.54,27.62,27.54,27.62,71044,121885.15
2020-10-06T12:30:00+02:00,27.58,27.66,27.56,27.66,78241,120717.5
2020-10-06T12:45:00+02:00,27.66,27.68,27.64,27.66,87860,119531.75
2020-10-06T13:00:00+02:00,27.66,27.68,27.64,27.66,107152,112560.4
2020-10-06T13:15:00+02:00,27.68,27.68,27.64,27.68,89007,116292.2
2020-10-06T13:30:00+02:00,27.68,27.78,27.68,27.78,150588,113472.9
2020-10-06T13:45:00+02:00,27.78,27.78,27.72,27.74,38077,95326.05
2020-10-06T14:00:00+02:00,27.74,27.78,27.68,27.76,51823,90741.6
2020-10-06T14:15:00+02:00,27.78,27.86,27.76,27.8,137476,84784
2020-10-06T14:30:00+02:00,27.8,27.84,27.78,27.82,55063,76476.05
2020-10-06T14:45:00+02:00,27.84,27.88,27.8,27.82,51025,76465.7
2020-10-06T15:00:00+02:00,27.84,27.88,27.72,27.74,87880,74946.4
2020-10-06T15:15:00+02:00,27.72,27.76,27.64,27.68,143539,79530.1
2020-10-06T15:30:00+02:00,27.7,27.78,27.64,27.76,155779,82182.95
2020-10-06T15:45:00+02:00,27.76,27.86,27.76,27.84,136135,88223.5
2020-10-06T16:00:00+02:00,27.86,27.88,27.8,27.86,203100,94975.05
2020-10-06T16:15:00+02:00,27.85,28.06,27.82,28.06,654964,124507.65
2020-10-06T16:30:00+02:00,28.06,28.14,28.06,28.08,173779,128914
2020-10-06T16:45:00+02:00,28.1,28.26,28.08,28.24,235120,136967.8
2020-10-06T17:00:00+02:00,28.24,28.24,28.18,28.22,147527,142758.95
2020-10-06T17:15:00+02:00,28.2,28.22,28.1,28.22,638468,171130.15
2020-10-07T09:00:00+02:00,28,28.18,27.86,28.06,267361,180586.15
2020-10-07T09:15:00+02:00,28.08,28.1,28.02,28.06,68117,179599
2020-10-07T09:30:00+02:00,28.06,28.14,28.04,28.12,112543,179868.55
2020-10-07T09:45:00+02:00,28.14,28.22,28.06,28.12,276787,189257.55
2020-10-07T10:00:00+02:00,28.12,28.12,28.02,28.06,103510,186903.65
2020-10-07T10:15:00+02:00,28.06,28.08,28.02,28.06,128954,191447.5
2020-10-07T10:30:00+02:00,28.04,28.08,28.02,28.06,65863,192149.5
2020-10-07T10:45:00+02:00,28.02,28.08,28.02,28.06,62759,188413.65
2020-10-07T11:00:00+02:00,28.06,28.1,28.02,28.1,75413,189431.15
2020-10-07T11:15:00+02:00,28.08,28.18,28.08,28.14,124802,193120
2020-10-07T11:30:00+02:00,28.14,28.22,28.12,28.2,55589,191505.45
2020-10-07T11:45:00+02:00,28.2,28.24,28.18,28.22,35921,186124.55
2020-10-07T12:00:00+02:00,28.22,28.24,28.1,28.1,107609,183716.05
2020-10-07T12:15:00+02:00,28.1,28.14,28.06,28.14,40555,178937.05
2020-10-07T12:30:00+02:00,28.14,28.16,28.12,28.16,43092,170936.65
2020-10-07T12:45:00+02:00,28.14,28.28,28.14,28.26,89415,142659.2
2020-10-07T13:00:00+02:00,28.28,28.42,28.26,28.42,228941,145417.3
2020-10-07T13:15:00+02:00,28.42,28.42,28.18,28.24,303170,148819.8
2020-10-07T13:30:00+02:00,28.24,28.26,28.2,28.26,59665,144426.7
2020-10-07T13:45:00+02:00,28.26,28.28,28.22,28.28,43995,114703.05
2020-10-07T14:00:00+02:00,28.28,28.76,28.28,28.36,913244,146997.2
2020-10-07T14:15:00+02:00,28.36,28.52,28.36,28.44,265173,156850
2020-10-07T14:30:00+02:00,28.46,28.56,28.4,28.45,125720,157508.85
2020-10-07T14:45:00+02:00,28.46,28.54,28.46,28.54,333739,160356.45
2020-10-07T15:00:00+02:00,28.54,28.54,28.48,28.52,110035,160682.7
2020-10-07T15:15:00+02:00,28.52,28.56,28.42,28.5,191130,163791.5
2020-10-07T15:30:00+02:00,28.5,28.58,28.48,28.52,209418,170969.25
2020-10-07T15:45:00+02:00,28.54,28.66,28.5,28.62,409666,188314.6
2020-10-07T16:00:00+02:00,28.62,28.64,28.46,28.5,189212,194004.55
2020-10-07T16:15:00+02:00,28.5,28.56,28.46,28.5,225660,199047.45
2020-10-07T16:30:00+02:00,28.5,28.58,28.46,28.56,204743,206505.15
2020-10-07T16:45:00+02:00,28.54,28.58,28.32,28.38,345151,221966.65
2020-10-07T17:00:00+02:00,28.38,28.38,28.26,28.26,204516,226812
2020-10-07T17:15:00+02:00,28.28,28.34,28.26,28.34,576646,253616.55
2020-10-08T09:00:00+02:00,28.5,28.74,28.5,28.54,421204,272522.15
2020-10-08T09:15:00+02:00,28.54,28.6,28.46,28.52,158949,275998.85
2020-10-08T09:30:00+02:00,28.52,28.56,28.46,28.5,141218,271612.7
2020-10-08T09:45:00+02:00,28.5,28.54,28.42,28.52,108560,261882.2
2020-10-08T10:00:00+02:00,28.48,28.48,28.3,28.36,120237,264910.8
2020-10-08T10:15:00+02:00,28.34,28.36,28.24,28.24,130437,269232.9
2020-10-08T10:30:00+02:00,28.24,28.32,28.2,28.32,122932,229717.3
2020-10-08T10:45:00+02:00,28.32,28.34,28.26,28.34,60416,219479.45
2020-10-08T11:00:00+02:00,28.34,28.38,28.3,28.38,49511,215669
2020-10-08T11:15:00+02:00,28.38,28.46,28.34,28.46,70067,202485.4
2020-10-08T11:30:00+02:00,28.46,28.54,28.44,28.54,53960,199681.65
2020-10-08T11:45:00+02:00,28.52,28.58,28.5,28.5,79255,194087.9
2020-10-08T12:00:00+02:00,28.5,28.58,28.48,28.58,36273,185430.65
2020-10-08T12:15:00+02:00,28.58,28.62,28.52,28.61,90339,169464.3
2020-10-08T12:30:00+02:00,28.62,28.66,28.58,28.64,115395,165773.45
2020-10-08T12:45:00+02:00,28.64,28.7,28.54,28.58,136437,161312.3
2020-10-08T13:00:00+02:00,28.58,28.6,28.56,28.56,38131,152981.7
2020-10-08T13:15:00+02:00,28.58,28.58,28.52,28.56,45459,137997.1
2020-10-08T13:30:00+02:00,28.56,28.56,28.52,28.52,32492,129395.9
2020-10-08T13:45:00+02:00,28.54,28.58,28.48,28.52,40652,102596.2
2020-10-08T14:00:00+02:00,28.5,28.58,28.5,28.56,114707,87271.35
2020-10-08T14:15:00+02:00,28.56,28.62,28.54,28.6,55406,82094.2
2020-10-08T14:30:00+02:00,28.64,28.64,28.56,28.64,34768,76771.7
2020-10-08T14:45:00+02:00,28.64,28.64,28.48,28.5,71928,74940.1
2020-10-08T15:00:00+02:00,28.49,28.52,28.44,28.46,52863,71571.4
2020-10-08T15:15:00+02:00,28.46,28.46,28.36,28.4,89929,69546
2020-10-08T15:30:00+02:00,28.38,28.4,28.34,28.38,81609,67479.85
2020-10-08T15:45:00+02:00,28.34,28.42,28.32,28.42,112668,70092.45
2020-10-08T16:00:00+02:00,28.42,28.48,28.4,28.4,142975,74765.65
2020-10-08T16:15:00+02:00,28.4,28.46,28.38,28.38,73810,74952.8
2020-10-08T16:30:00+02:00,28.42,28.46,28.38,28.42,121214,78315.5
2020-10-08T16:45:00+02:00,28.42,28.44,28.4,28.42,52001,76952.8
2020-10-08T17:00:00+02:00,28.4,28.46,28.38,28.46,146219,82450.1
