time,open,high,low,close,Volume,Volume MA
2020-10-01T09:00:00+02:00,250,250,246.5,247.5,7021,NaN
2020-10-01T09:15:00+02:00,247,248,246.5,247,1884,NaN
2020-10-01T09:30:00+02:00,247.5,248,246.5,248,1371,NaN
2020-10-01T09:45:00+02:00,247.5,247.5,246,246.5,4155,NaN
2020-10-01T10:00:00+02:00,246.5,247,246,246.5,1624,NaN
2020-10-01T10:15:00+02:00,246.5,247,245.5,246,4556,NaN
2020-10-01T10:30:00+02:00,247,247,244.5,245,4542,NaN
2020-10-01T10:45:00+02:00,245,245.5,244.5,245.5,1789,NaN
2020-10-01T11:00:00+02:00,245,246,245,245.5,1491,NaN
2020-10-01T11:15:00+02:00,245.5,246,245.5,245.5,1128,NaN
2020-10-01T11:30:00+02:00,245.5,246,245,245.5,308,NaN
2020-10-01T11:45:00+02:00,245.5,246,245.5,246,1485,NaN
2020-10-01T12:00:00+02:00,246,247,246,247,2739,NaN
2020-10-01T12:15:00+02:00,247,247,246,246.5,1044,NaN
2020-10-01T12:30:00+02:00,246,246.5,246,246.5,398,NaN
2020-10-01T12:45:00+02:00,246,247,246,246.5,423,NaN
2020-10-01T13:00:00+02:00,246.5,247,246,247,982,NaN
2020-10-01T13:15:00+02:00,247,247,246,246,1125,NaN
2020-10-01T13:30:00+02:00,246,246.5,245.5,245.5,1519,NaN
2020-10-01T13:45:00+02:00,245.5,246,245,245,1027,2030.55
2020-10-01T14:00:00+02:00,246,246,245,245.5,179,1688.45
2020-10-01T14:15:00+02:00,245,245.5,245,245.5,1440,1666.25
2020-10-01T14:30:00+02:00,245.5,246,245,245.5,866,1641
2020-10-01T14:45:00+02:00,246,246,245,245.5,904,1478.45
2020-10-01T15:00:00+02:00,245,245.5,245,245,710,1432.75
2020-10-01T15:15:00+02:00,245.5,245.5,243.5,245,6564,1533.15
2020-10-01T15:30:00+02:00,244.5,245.5,244.5,244.5,1986,1405.35
2020-10-01T15:45:00+02:00,244.5,244.5,243.5,244,1120,1371.9
2020-10-01T16:00:00+02:00,243.5,244,243,243,3589,1476.8
2020-10-01T16:15:00+02:00,243,244,243,244,659,1453.35
2020-10-01T16:30:00+02:00,244,244.5,244,244,680,1471.95
2020-10-01T16:45:00+02:00,244,245,244,245,1690,1482.2
2020-10-01T17:00:00+02:00,245,245.5,244.5,245,1167,1403.6
2020-10-01T17:15:00+02:00,244.5,245,244,245,4520,1577.4
2020-10-02T09:00:00+02:00,240,243,238,241,6474,1881.2
2020-10-02T09:15:00+02:00,241,242.5,238,241,9052,2312.65
